Time in ms,X in mm,Y in mm,Z in mm
17556.42104,252.86,314.17,482.73
17583.3323,254.15,314.65,481.86
17609.71832,255.46,314.68,480.99
17634.16004,257.07,314.55,483.61
17660.52079,258.39,313.75,482.72
17688.65609,259.25,313.78,481.86
17716.99309,259.75,313.96,478.42
17741.50848,260.08,314.25,480.72
17767.22455,260.49,314.21,482.16
17795.13407,237.45,303.85,473.95
17825.78182,259.66,313.35,482.15
17853.42002,259.66,313.38,481.85
17888.73506,259.23,314.22,481.87
17912.642,258.82,313.8,481.58
17941.83612,258.41,313.82,481.02
17968.41717,257.96,313.75,482.44
17992.70201,257.09,314.13,483.32
18015.93351,255.48,314.3,480.14
18041.85271,254.6,314.25,481.01
18068.20822,253.38,314.32,479.85
18092.22412,252.41,314.1,483.9
18116.93668,251.58,314.55,483.31
18142.72618,249.96,315.13,480.43
18167.7506,248.39,314.79,479.0
18192.38091,247.96,315.18,479.27
18216.17126,247.11,315.2,478.99
18241.17875,246.33,315.23,478.42
18267.2925,244.84,315.47,482.16
18293.05792,246.42,315.38,483.92
18318.35127,246.08,315.0,483.02
18341.40277,245.75,315.11,480.99
18366.58382,245.67,315.44,482.45
18398.49997,245.75,315.52,480.99
18422.8673,246.06,315.0,483.02
18445.86301,246.08,315.45,482.44
18469.34652,246.13,315.48,481.86
18494.79413,246.22,315.56,480.15
18518.40544,246.3,314.81,478.44
18544.32797,246.65,315.15,479.86
18570.04929,248.35,315.18,479.28
18595.77227,249.95,314.64,481.87
18619.60697,251.19,314.62,482.44
18645.65301,252.46,315.01,482.73
18670.434,252.99,314.78,478.72
18696.24472,254.24,314.73,480.13
18720.93248,255.47,314.26,481.0
18755.73683,260.07,313.8,481.6
18782.29499,257.96,314.17,483.02
18808.6524,258.37,314.18,482.45
18833.5371,258.83,314.22,481.57
18859.14946,259.24,313.79,481.6
18885.3476,259.26,313.45,480.15
18912.498,259.26,313.45,480.15
18938.11774,259.27,313.48,479.84
18964.64348,259.27,314.29,480.42
18996.06419,259.24,313.77,482.14
19024.52254,258.82,314.21,481.87
19050.26245,258.37,313.71,483.32
19074.44739,257.54,313.77,482.44
19099.57075,255.56,314.49,476.73
19135.09989,254.24,314.35,479.28
19161.56006,252.54,314.71,480.14
19186.56826,251.96,314.1,484.19
19213.33194,249.92,314.6,482.16
19238.61527,247.94,315.18,479.56
19262.60352,247.84,315.09,481.29
19286.49735,246.7,315.21,478.99
19312.37698,245.81,315.17,479.58
19338.86266,246.47,315.41,483.31
19363.88516,246.45,314.97,483.61
19388.02385,246.06,315.0,483.04
19412.19497,245.68,315.46,481.87
19440.60135,245.73,315.09,481.58
19469.30432,246.02,315.4,483.6
19494.2801,246.09,315.46,482.15
19522.04847,246.11,315.47,482.16
19549.6285,246.46,315.4,483.62
19577.83246,245.36,315.14,480.14
19604.95567,246.66,315.18,479.3
19636.07669,248.33,315.16,479.85
19663.8577,250.29,314.55,483.32
19691.73503,252.47,314.61,482.15
19718.36925,252.99,314.78,478.98
19741.90998,254.24,314.75,479.84
19769.31286,255.52,314.82,478.42
19792.68885,260.95,314.33,479.55
19824.67103,258.41,313.81,481.57
19846.68112,258.82,313.82,481.57
19876.43266,259.24,314.25,481.0
19899.35851,259.29,313.91,479.56
19924.72601,259.69,313.88,480.12
19955.54256,259.71,313.52,479.27
19983.08039,259.27,313.51,479.0
20006.77204,259.28,313.86,480.14
20034.27458,259.26,313.84,481.0
20062.38246,258.87,313.95,478.99
20097.61429,258.38,314.2,482.15
20122.14255,258.35,313.64,484.49
20150.18415,257.5,314.08,484.19
20178.47204,255.91,314.32,479.86
20202.37899,254.29,314.43,477.85
20226.0077,253.01,314.38,478.7
20252.15197,252.48,314.22,481.58
20279.5074,249.98,314.68,481.0
20302.89674,248.66,315.04,482.43
20329.38123,246.31,315.23,478.43
20353.10698,245.79,315.14,480.13
20376.49131,245.69,315.03,482.43
20401.5038,245.3,315.07,481.59
20431.42676,243.63,315.1,481.0
20456.83432,245.14,315.36,484.48
20480.01885,244.93,315.13,480.43
